Nº Pedido,Cliente - Motorista,Data Emissão Pedido,Data Entrega Prevista,Destino,Itens,R$ Faturados,Saída para Entrega,Data Entrega Real, Qtd Devolução,Mot. Devolução,Dias Para Entrega,Status
A3,WALMART-FELIPE SILVA,2019-01-27,2019-02-06,SP,3,139.5,2019-01-29,2019-02-03,0,S/ Devolu.,7,No Prazo
A4,MAGAZINE LUIZA-TÚLIO SILVEIRA,2019-01-28,2019-02-07,RJ,4,134.40000000000006,2019-02-09,2019-02-12,0,S/ Devolu.,15,Atrasado
A7,MAGAZINE LUIZA-VALDIR ESPINOSA,2019-02-04,2019-02-14,SP,5,79.5,2019-02-07,2019-02-14,1,Produto Errado,10,No Prazo
A12,MAGAZINE LUIZA-MARCOS LEROY,2019-02-18,2019-02-28,SP,20,326.0,2019-02-23,2019-02-25,11,Produto Errado,7,No Prazo
A15,WALMART-LUIZ PARDAL,2019-02-21,2019-03-03,RJ,12,597.6000000000001,2019-02-28,2019-03-07,0,S/ Devolu.,14,Atrasado
A16,WALMART-JOÃO GOMES,2019-02-23,2019-03-05,RJ,14,467.6000000000002,2019-02-28,2019-03-06,9,Produto Errado,11,Atrasado
A17,WALMART-JOÃO GOMES,2019-02-24,2019-03-06,SP,6,297.00000000000006,2019-02-27,2019-03-09,1,Produto Errado,13,Atrasado
A20,MAGAZINE LUIZA-VALDIR ESPINOSA,2019-02-26,2019-03-08,BH,14,473.2000000000003,2019-02-27,2019-03-07,1,Produto Errado,9,No Prazo
A22,AMERICANAS-VALDIR ESPINOSA,2019-03-01,2019-03-11,SP,10,165.00000000000003,2019-03-06,2019-03-13,1,Danificado,12,Atrasado
A23,AMERICANAS-MARCOS LEROY,2019-03-02,2019-03-12,RJ,1,31.0,2019-03-05,2019-03-06,1,Danificado,4,No Prazo
A26,MAGAZINE LUIZA-MARCOS LEROY,2019-03-06,2019-03-16,RJ,8,262.40000000000003,2019-03-18,2019-03-20,1,Produto Errado,14,Atrasado
A27,WALMART-FELIPE SILVA,2019-03-07,2019-03-17,BH,18,907.2000000000004,2019-03-18,2019-03-21,0,S/ Devolu.,14,Atrasado
A31,WALMART-LUIZ PARDAL,2019-03-11,2019-03-21,RJ,20,996.0000000000003,2019-03-20,2019-03-24,4,Arrependimento,13,Atrasado
A32,MAGAZINE LUIZA-MARCOS LEROY,2019-03-14,2019-03-24,SP,4,62.4,2019-03-18,2019-03-27,1,Danificado,13,Atrasado
A35,WALMART-FELIPE SILVA,2019-03-17,2019-03-27,BH,14,226.79999999999998,2019-03-23,2019-03-27,3,Danificado,10,No Prazo
A36,WALMART-MARCOS LEROY,2019-03-18,2019-03-28,BH,3,93.0,2019-03-25,2019-04-03,2,Produto Errado,16,Atrasado
A37,WALMART-VALDIR ESPINOSA,2019-03-19,2019-03-29,SP,12,601.2000000000003,2019-04-01,2019-04-05,0,S/ Devolu.,17,Atrasado
A38,WALMART-LUIZ PARDAL,2019-03-22,2019-04-01,BH,15,738.0000000000001,2019-03-26,2019-03-29,0,S/ Devolu.,7,No Prazo
A40,CASAS BAHIA-MARCOS LEROY,2019-03-24,2019-04-03,RJ,9,298.80000000000007,2019-03-26,2019-03-28,1,Danificado,4,No Prazo
A41,WALMART-LUIZ PARDAL,2019-03-29,2019-04-08,BH,1,16.600000000000005,2019-04-06,2019-04-12,1,Produto Errado,14,Atrasado
A42,AMERICANAS-LUIZ PARDAL,2019-03-29,2019-04-08,RJ,13,631.8,2019-04-03,2019-04-05,3,Danificado,7,No Prazo
A43,MAGAZINE LUIZA-LUIZ PARDAL,2019-03-30,2019-04-09,BH,8,259.2,2019-04-03,2019-04-06,2,Produto Errado,7,No Prazo
A46,CASAS BAHIA-TÚLIO SILVEIRA,2019-04-06,2019-04-16,SP,1,33.20000000000001,2019-04-07,2019-04-14,1,Produto Errado,8,No Prazo
A53,CASAS BAHIA-VALDIR ESPINOSA,2019-04-10,2019-04-20,BH,4,136.00000000000009,2019-04-13,2019-04-19,4,Produto Errado,9,No Prazo
A57,MAGAZINE LUIZA-TÚLIO SILVEIRA,2019-04-12,2019-04-22,BH,9,270.0,2019-04-16,2019-04-20,2,Danificado,8,No Prazo
A58,CASAS BAHIA-MARCOS LEROY,2019-04-13,2019-04-23,RJ,1,49.80000000000001,2019-04-17,2019-04-23,1,Danificado,10,No Prazo
A59,AMERICANAS-FELIPE SILVA,2019-04-13,2019-04-23,BH,20,676.0000000000003,2019-04-19,2019-04-28,0,S/ Devolu.,15,Atrasado
